full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
pardom-zz/ActiveAndroid,4680,https://github.com/pardom-zz/ActiveAndroid,2012-11-15T18:10:45Z,2025-08-30T09:54:30Z,18083,Java,12.81,0
SPLWare/esProc,4668,https://github.com/SPLWare/esProc,2021-11-09T15:41:25Z,2025-09-06T08:38:05Z,1182369,Java,3.82,0
saysky/ForestBlog,4662,https://github.com/saysky/ForestBlog,2017-10-08T15:27:47Z,2025-09-06T11:52:47Z,52149,Java,7.91,0
wdullaer/MaterialDateTimePicker,4661,https://github.com/wdullaer/MaterialDateTimePicker,2015-01-03T19:41:03Z,2025-07-28T00:31:21Z,2001,Java,10.67,30
cjlin1/libsvm,4659,https://github.com/cjlin1/libsvm,2013-09-10T14:32:07Z,2025-09-06T05:49:45Z,9740,Java,11.99,0
stleary/JSON-java,4658,https://github.com/stleary/JSON-java,2010-12-21T17:46:09Z,2025-09-02T09:21:37Z,3062,Java,14.71,24
Heeexy/SpringBoot-Shiro-Vue,4649,https://github.com/Heeexy/SpringBoot-Shiro-Vue,2017-11-17T18:49:06Z,2025-09-04T01:23:52Z,421,Java,7.8,0
gabrielemariotti/cardslib,4646,https://github.com/gabrielemariotti/cardslib,2013-09-20T21:57:19Z,2025-08-30T09:57:20Z,30628,Java,11.96,27
gsantner/markor,4639,https://github.com/gsantner/markor,2017-08-26T00:08:35Z,2025-09-06T17:40:30Z,38900,Java,8.03,30
romandanylyk/PageIndicatorView,4638,https://github.com/romandanylyk/PageIndicatorView,2016-08-20T19:25:32Z,2025-09-06T21:01:50Z,33988,Java,9.05,14
bytedeco/javacpp,4636,https://github.com/bytedeco/javacpp,2014-04-21T12:47:21Z,2025-09-03T20:31:13Z,11494,Java,11.38,13
deepjavalibrary/djl,4633,https://github.com/deepjavalibrary/djl,2019-10-29T22:38:54Z,2025-09-02T09:28:19Z,49336,Java,5.85,30
oracle/opengrok,4628,https://github.com/oracle/opengrok,2013-01-07T11:49:18Z,2025-09-04T17:33:05Z,513938,Java,12.66,30
TGX-Android/Telegram-X,4623,https://github.com/TGX-Android/Telegram-X,2021-08-17T17:09:25Z,2025-09-05T08:39:08Z,46309,Java,4.05,5
Netflix/ribbon,4617,https://github.com/Netflix/ribbon,2013-01-15T01:08:04Z,2025-08-25T08:03:42Z,3543,Java,12.64,30
981011512/--,4614,https://github.com/981011512/--,2020-06-18T22:47:21Z,2025-09-06T05:15:16Z,17068,Java,5.22,0
bepass-org/oblivion,4614,https://github.com/bepass-org/oblivion,2024-02-08T05:50:09Z,2025-09-06T17:06:20Z,3318,Java,1.58,12
SplashCodes/JAViewer,4609,https://github.com/SplashCodes/JAViewer,2016-05-21T08:47:10Z,2025-09-04T09:39:06Z,2335,Java,9.3,10
apache/rocketmq-externals,4606,https://github.com/apache/rocketmq-externals,2017-03-14T07:00:06Z,2025-08-29T03:42:35Z,36288,Java,8.48,0
yasserg/crawler4j,4606,https://github.com/yasserg/crawler4j,2011-12-31T22:49:18Z,2025-09-06T09:20:55Z,1186,Java,13.68,3
chewiebug/GCViewer,4583,https://github.com/chewiebug/GCViewer,2011-10-23T09:01:04Z,2025-09-02T07:54:53Z,6761,Java,13.87,5
CalebFenton/simplify,4582,https://github.com/CalebFenton/simplify,2014-01-16T05:14:02Z,2025-09-06T19:02:44Z,103553,Java,11.64,9
RedSpider1/concurrent,4581,https://github.com/RedSpider1/concurrent,2018-11-03T13:49:36Z,2025-09-04T10:21:05Z,12619,Java,6.84,0
puniverse/quasar,4578,https://github.com/puniverse/quasar,2013-03-27T14:51:24Z,2025-08-29T16:43:45Z,80585,Java,12.45,18
angryip/ipscan,4573,https://github.com/angryip/ipscan,2011-06-28T20:58:48Z,2025-09-06T18:46:01Z,116939,Java,14.19,30
chentao0707/SimplifyReader,4571,https://github.com/chentao0707/SimplifyReader,2015-08-17T08:22:53Z,2025-09-03T06:06:05Z,62804,Java,10.06,0
