repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
hs-web_hsweb-framework,6.161556603773585,4.0,6.181900949148273,1.3443396226415094,1.0,1.09493458058459,11.17570754716981,0.0,40.21886432888086,24639
ZCShou_GoGoGo,7.25,3.0,12.540148290548089,1.4583333333333333,1.0,0.713347915274833,12.875,1.0,46.098241531976306,3813
PojavLauncherTeam_PojavLauncher,6.154228855721393,3.5,8.04359037755891,1.4104477611940298,1.0,0.6906502761872096,124.73134328358209,1.0,1599.1227200494154,27149
LSPosed_LSPatch,3.8333333333333335,2.0,5.205905231116133,1.2916666666666667,1.0,0.6240935455708451,1.9583333333333333,0.0,3.593220266565629,1083
DImuthuUpe_AndroidPdfViewer,4.947368421052632,1.0,8.270906524489448,1.2456140350877194,1.0,0.6059438256138094,76.78947368421052,0.0,440.4714494088815,3328
testcontainers_testcontainers-java,5.3478260869565215,4.0,4.881803661309787,1.4938684503901896,1.0,0.8865414066534626,21.911928651059085,1.0,186.81724514346877,30991
wildfirechat_im-server,6.406712734452122,3.0,8.066572950357816,1.541954590325765,1.0,2.490588396976368,111.72063178677196,1.0,448.01377195402154,158401
apache_beam,7.419183824435951,5.0,8.059131804936909,1.5353224016767353,1.0,1.3900591228250303,19.624953766489952,0.0,171.0579763752416,727444
apache_shardingsphere-elasticjob,5.4630872483221475,4.0,5.075925700144097,1.1543624161073827,1.0,0.5017593546177506,3.192953020134228,0.0,12.565178668148539,15586
pentaho_pentaho-kettle,6.012085415720128,2.0,9.3266745764505,1.280872330758746,1.0,0.618450681552676,83.13475692866879,0.0,1227.246566047159,767137
alibaba_atlas,5.520412951665884,4.0,6.532686397377427,1.4368840919755983,1.0,0.9269721801161334,29.753636790239323,1.0,159.15623419240433,152995
cabaletta_baritone,6.6976744186046515,4.0,8.283863147590589,1.386892177589852,1.0,0.8080615163446129,22.11416490486258,1.0,128.1258140535953,22324
alibaba_transmittable-thread-local,5.587096774193548,5.0,3.7325996246726505,1.4322580645161291,1.0,1.0931864234186586,12.35483870967742,1.0,38.26085143340228,6932
alibaba_otter,4.6003086419753085,3.0,5.319517488826686,1.4544753086419753,1.0,0.9163103970770006,32.454475308641975,1.0,252.5434559708513,68163
florent37_MaterialViewPager,4.545454545454546,3.0,4.843862313708442,1.2954545454545454,1.0,0.5531955983003285,9.386363636363637,0.0,26.482302918452795,1616
guolindev_LitePal,5.009950248756219,3.0,5.162354162348069,1.6517412935323383,1.0,0.9581802819596731,49.44776119402985,0.0,248.8698625938116,11830
HMCL-dev_HMCL,6.802307692307692,4.0,8.17251411575576,1.7092307692307693,1.0,1.3323964849855583,36.04461538461538,1.0,316.5817811907613,78629
bytedeco_javacv,6.125560538116592,4.0,6.770525783983759,2.1300448430493275,1.0,1.9233378216939483,133.99103139013454,1.0,704.2258799627374,26962
aeron-io_aeron,7.85145482388974,4.0,10.048510010813601,1.2963246554364471,1.0,0.9090108127720326,114.30015313935681,0.0,1258.1134195714328,122426
aritraroy_UltimateAndroidReference,1.0,1.0,,1.0,1.0,,0.0,0.0,,22
davemorrissey_subsampling-scale-image-view,5.625,3.5,6.619300631114319,1.5833333333333333,1.0,0.8841324226862571,79.72222222222223,0.0,641.0191757853813,4262
Netflix_SimianArmy,5.845901639344262,4.0,7.3134153446560966,1.4229508196721312,1.0,0.7746802062241196,25.160655737704918,3.0,112.00547930483327,16056
junixapp_XPopup,4.704918032786885,3.0,6.320768457338521,1.5770491803278688,1.0,1.127467096413191,22.901639344262296,0.0,135.87793294636694,12348
apache_tomcat,4.511020757543334,3.0,5.879091449684694,1.81318210999358,1.0,1.66834370419604,179.6107425636636,0.0,4201.030564532911,356064
apache_iceberg,8.566241197183098,6.0,8.261679695901874,1.7007042253521127,1.0,1.7178836722413666,36.33494718309859,2.0,172.1022328812415,313393
JakeWharton_hugo,5.714285714285714,7.0,4.231401884099631,1.1428571428571428,1.0,0.37796447300922725,27.714285714285715,6.0,43.52284567026948,384
dropwizard_metrics,5.484011627906977,4.0,4.651747433932019,1.3517441860465116,1.0,0.7752333610973463,9.533430232558139,0.0,39.272667382731456,28510
HannahMitt_HomeMirror,2.727272727272727,2.0,4.944446627030415,1.0757575757575757,1.0,0.26663752754548836,5.348484848484849,0.0,35.40338637616135,1719
software-mansion_react-native-svg,6.545871559633028,5.0,7.098400314500563,2.646788990825688,1.0,7.130063162540269,87.93577981651376,1.0,235.3625412224286,13080
ChrisRM_material-theme-jetbrains,4.3277310924369745,3.0,4.930601378123921,2.2549019607843137,2.0,1.4493353005412588,84.42296918767506,1.0,634.4224196460794,14517
Graylog2_graylog2-server,8.046389558802668,6.0,8.872295439406503,1.3306852035749752,1.0,0.7008763760090696,18.653284153780678,1.0,102.02480768357556,239707
trello-archive_RxLifecycle,6.45679012345679,6.0,6.170594344785697,1.654320987654321,1.0,1.141933599505248,1.4074074074074074,0.0,4.064411943251378,2368
goldze_MVVMHabit,3.58307210031348,2.0,3.826237042263617,1.2727272727272727,1.0,0.6522161718478753,15.764890282131661,0.0,74.0550824820197,9110
vipshop_vjtools,3.134564643799472,2.0,3.4733060669672184,1.2770448548812665,1.0,0.7627406207856466,26.30079155672823,1.0,106.80640288758197,18382
